_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
53060,0023E00232000000,1519 GARFIELD AVE,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01261882346006,40.45796053515769
53061,0023E00234000000,1523 GARFIELD AVE,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01265313377395,40.45806291630616
53062,0023E00290000A00,707 ARMANDALE ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01512850789148,40.4578854367314
53063,0023E00290000B00,709 ARMANDALE ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01518111604695,40.45787568646215
53064,0023E00296000A00,1528 BRIGHTON RD,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01563723963626,40.45766724598997
53065,0023E00340000000,1715 BUENA VISTA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.0154845354233,40.45896178165225
53066,0023F00314000000,222 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01037947706787,40.45790178362528
53067,0023F00338000000,1502 ARCH ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.00939258764168,40.458075814574144
53068,0023J00065000000,506 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.0125752745167,40.457547798109914
53069,0023J00075000000,513 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01253674943798,40.45716104417264
53070,0023J00076000000,515 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01259980814764,40.45713821119382
53071,0023J00078000000,519 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01274747917452,40.45711802314075
53072,0023K00004000000,409 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.0117696758715,40.457314924843274
53073,0023K00017000000,309 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01084135293297,40.457467245946795
53074,0023K00018000000,307 JACKSONIA ST,,2018-12-16,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01077674639228,40.457498465455686
53075,0023J00054000000,1506 MONTEREY ST,,2018-12-21,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01336860637686,40.45748277975426
53076,0023E00228000000,505 ALPINE AVE,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.012651675626,40.4578452510172
53077,0023E00241000000,512 ALPINE AVE,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01287289534378,40.45800109846233
53078,0023E00288000000,701 ARMANDALE ST,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01497764158253,40.45791685230021
53079,0023E00290000000,705 ARMANDALE ST,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01507607632716,40.457896438828655
53080,0023E00295000A00,1526 BRIGHTON RD,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01562016909863,40.45761322538027
53081,0023F00265000A00,403 ALPINE AVE,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01178904956846,40.45794336034472
53082,0023F00265000C00,407 ALPINE AVE,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01191568193893,40.45791846745196
53083,0023J00062000000,512 JACKSONIA ST,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01280360664461,40.45750307160025
53084,0023K00015000000,313 JACKSONIA ST,,2018-12-29,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01098344490512,40.457444378333165
53085,0080H00319000000,5242 LOTUS WAY,2019,2018-12-12,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95080894368913,40.479522557264715
53086,0011J00176000000,1723 LOCUST ST,,2018-12-23,ACT42 RESIDENTIAL,3,86750,Bluff,6,1,3,Central,Schenley,2,2-1,-79.9818718864627,40.43680206150364
53087,0006K00267000000,333 SHALER ST,2020,2018-12-23,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02535640659289,40.4370609934295
53088,0086E00188000000,5517 AYLESBORO AVE,2018,2014-03-07,ACT42 RESIDENTIAL,3,86750,Squirrel Hill North,8,14,3,Eastern,Frick,4,2-8,-79.93024343323155,40.439348684271
53089,0017M00211000000,143 BANKSVILLE PL,2017,2014-03-20,ACT42 RESIDENTIAL,3,86750,Banksville,2,20,5,Northern,Emerald,6,4-9,-80.03354249276701,40.417066595369285
53090,0017M00212000000,147 BANKSVILLE PL,2017,2014-03-20,ACT42 RESIDENTIAL,3,86750,Banksville,2,20,5,Northern,Emerald,6,4-9,-80.0334747149707,40.417079233506655
53091,0017M00213000000,151 BANKSVILLE PL,2017,2014-03-20,ACT42 RESIDENTIAL,3,86750,Banksville,2,20,5,Northern,Emerald,6,4-9,-80.03340388201313,40.417093231326085
53092,0017M00214000000,155 BANKSVILLE PL,2017,2014-03-20,ACT42 RESIDENTIAL,3,86750,Banksville,2,20,5,Northern,Emerald,6,4-9,-80.03333901756248,40.41711169736145
53093,0049P00127000000,318 39TH ST,2015,2014-03-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96005344715356,40.464187077468495
53094,0022G00224000000,1211 COLUMBUS AVE,2016,2014-03-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02407982667297,40.45808906658042
53095,0022K00046000000,1240 JUNIATA ST,2016,2014-03-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02475409601233,40.45754866174818
53096,0022K00047000000,1244 JUNIATA ST,2016,2014-03-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02485546682033,40.4575305361033
53097,0022K00048000000,1248 JUNIATA ST,2015,2014-03-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02496512837726,40.45751177608472
