_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
51283,0001G00043000000,300 LIBERTY AVE,2013,2011-09-27,RESIDENTIAL LERTA,10,150000,Central Business District,6,1,6,Central,Riverview,2,1-3,-80.00620088006525,40.44054896027709
51284,0049J00352000000,258 39TH ST,2014,2011-09-27,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.9622796304629,40.46603297481475
51285,0023M00280000000,533 TRIPOLI ST,2013,2011-09-27,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00013281976875,40.45597753167215
51286,0011K00282000000,2015 FORBES AVE,,2022-04-14,CHAPTER 265 ENHANCED,10,250000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.9770390385313,40.43749607548461
51287,0025D00104000000,3350 PENN AVE,,2022-04-28,CHAPTER 265 ENHANCED,10,250000,Lower Lawrenceville,7,6,1,Central,Northeast,2,3-2,-79.96740646132262,40.46222444468811
51288,0048S00278000000,3404 PENN AVE,,2022-04-28,CHAPTER 265 ENHANCED,10,250000,Lower Lawrenceville,7,6,1,Central,Northeast,2,3-6,-79.96686677153421,40.46259657372489
51289,0012H00250000000,2626 TUNNEL BLVD,2017,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96704452784581,40.4289206995153
51290,0012H00265000000,455 S 26TH ST,2017,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96730840542385,40.428428272929736
51291,0012H00265000100,2626 TUNNEL BLVD,2018,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96718439151499,40.42840898206694
51292,0012H00265000200,2639 SIDNEY ST,2018,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96732400803616,40.42844554464003
51293,0012H00265000300,2603 SIDNEY ST,2018,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96745934963779,40.42848093360308
51294,0027B00105000000,BRYN MAWR RD,,2015-05-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95844088621881,40.451690618286634
51295,0027B00106000000,BRYN MAWR RD,,2015-05-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95833518740781,40.45165499504365
51296,0027B00111000000,918 BRYN MAWR RD,2018,2015-05-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95823314437494,40.451621060143054
51297,0027B00117000000,913 ANAHEIM ST,2018,2015-05-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.9585128528755,40.45148307289811
51298,0048S00118000000,186 34TH ST,2019,2015-05-27,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-2,-79.96795529153084,40.46283877082465
51299,0049P00168000000,3708 MINTWOOD ST,2017,2015-05-04,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96172222236989,40.46339620802532
51300,0080D00124000000,5222 CARNEGIE ST,2016,2015-05-15,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95299982093113,40.4803923880828
51301,0080D00125000000,5220 CARNEGIE ST,2016,2015-05-15,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95303161685884,40.48035592129207
51302,0049B00202000000,4421 BUTLER ST,2018,2015-05-27,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95953505045834,40.472148838588986
51303,0088M00030000000,1722 PARKVIEW BLVD,2017,2015-05-29,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,15,3,Eastern,Frick,4,2-20,-79.92028895264436,40.41648725426824
51304,0088M00032000000,1708 PARKVIEW BLVD,2017,2015-05-29,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,15,3,Eastern,Frick,4,2-20,-79.92016741305589,40.41656664839349
51305,0026R00094000000,3554 CAMP ST,,2019-01-10,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95702060527914,40.4548161041841
51306,0049J00284000000,243 38TH ST,2019,2019-01-04,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96285954242485,40.465993877544605
51307,0080K00147000000,4640 HATFIELD ST,2020,2019-01-08,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96018846234404,40.47531880869112
51308,0022K00017000000,1401 COLUMBUS AVE,2014,2014-04-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02755332065685,40.45745646516819
51309,0022L00296000000,1109 LIVERPOOL ST,2016,2014-04-16,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02193219793693,40.45555030270742
51310,0008D00180000100,418 LOCKHART ST,,2014-04-29,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-20,-80.0006737205063,40.452461120318645
51311,0023M00224000000,910 CEDAR AVE,2018,2014-04-14,ACT42 RESIDENTIAL,3,86750,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00200425091624,40.4553147735855
51312,0006B00091000000,60 CIELO LN,2017,2014-04-28,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02642721240794,40.44137799892344
51313,0045J00272000000,1508 HODGKISS ST,2011,2010-08-03,ACT42 ENHANCED RESIDENTIAL,10,250000,Marshall-Shadeland,1,27,1,Northern,Riverview,1,1-14,-80.03153573831814,40.466831869151584
51314,0006K00284000000,422 CLARENCE ST,2023,2021-03-29,CHAPTER 265 BASE,3,175000,Duquesne Heights,2,19,5,Southern,Western,3,4-1,-80.02585809300771,40.43611903353945
51315,0022K00006000000,1419 COLUMBUS AVE,2023,2021-03-29,CHAPTER 265 ENHANCED,10,250000,Manchester,6,21,1,Northern,Northern,1,1-8,-80.0282597963576,40.45731954238658
51316,0054S00036000000,782 GREENFIELD AVE,2021,2018-09-10,ACT42 RESIDENTIAL,3,86750,Greenfield,5,15,3,Eastern,Frick,4,2-12,-79.93668291437635,40.42387608296547
51317,0054S00038000000,780 GREENFIELD AVE,,2018-09-10,ACT42 RESIDENTIAL,3,86750,Greenfield,5,15,3,Eastern,Frick,4,2-12,-79.93679336900166,40.42386400517917
51318,0049C00239000000,4614 CARLTON ST,,2018-09-21,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95542716013519,40.47106209111063
51319,0049C00243000000,4620 CARLTON ST,,2018-09-21,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95531700637322,40.471183201646944
51320,0049C00244000000,4618 CARLTON ST,,2018-09-21,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95535038090814,40.47114258656447
51321,0022M00022000000,1527 MCCULLOUGH ST,,2018-09-12,ACT42 ENHANCED RESIDENTIAL,10,250000,California-Kirkbride,6,25,1,Northern,Riverview,1,1-21,-80.01670466446257,40.45750457426075
51322,0002A00018000000,808 LIBERTY AVE,,2014-10-30,COMMERCIAL LERTA,5,50000,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99874653253885,40.442524194769206
51323,0025J00164000000,2501 SMALLMAN ST,2016,2014-10-23,RESIDENTIAL LERTA,10,150000,Strip District,7,2,6,Central,Highland,2,2-25,-79.9808223284175,40.45513225093836
51324,0049N00262000000,309 37TH ST,2016,2014-10-28,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96221600005262,40.46408581427325
51325,0049F00286000000,260 42ND ST,,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95852634497534,40.46888868269311
51326,0049F00286000100,260 42ND ST UNIT 1,2017,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95868248555308,40.4688177141206
51327,0049F00286000200,260 42ND ST UNIT 2,2017,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95865162347309,40.46879442097448
51328,0049F00286000300,260 42ND ST UNIT 3,2016,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95860594070653,40.46883205891779
51329,0049F00286000400,260 42ND ST UNIT 4,2016,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95863653243259,40.46885548714926
51330,0049F00286000500,260 42ND ST UNIT 5,2017,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95859133239492,40.468892586994905
51331,0049F00286000700,260 42ND ST UNIT 7,2016,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95851131653251,40.468909865883965
51332,0049F00286000800,260 42ND ST UNIT 8,2018,2014-10-13,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95854171892277,40.468933271410506
51333,0084M00216000000,6425 LIVING PL,2017,2014-10-02,LOCAL ECONOMIC STIMULUS,10,250000,Shadyside,8,7,2,Eastern,Frick,4,3-13,-79.91713242532495,40.45687534507489
51334,0009S00170000000,1811 WEBSTER AVE,2014,2008-06-20,ACT42 RESIDENTIAL,3,86750,Crawford-Roberts,6,3,3,Central,Schenley,2,2-1,-79.9847136816898,40.44476731607827
51335,0080C00141000000,5231 BUTLER ST,2009,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9541809168408,40.48125799404169
51336,0175B00183000000,7544 SUSQUEHANNA ST,2013,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Homewood South,9,13,2,Eastern,Frick,5,3-17,-79.89272091801097,40.45133335443688
51337,0175B00184000000,7538 SUSQUEHANNA ST,2013,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Homewood South,9,13,2,Eastern,Frick,5,3-17,-79.89284745704664,40.45138427593229
51338,0175B00185000000,7532 SUSQUEHANNA ST,2011,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Homewood South,9,13,2,Eastern,Frick,5,3-17,-79.89297635200542,40.45143472699572
51339,0175B00187000000,7520 SUSQUEHANNA ST,2010,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Homewood South,9,13,2,Eastern,Frick,5,3-17,-79.89323365694345,40.451535649225214
51340,0175B00188000000,7514 SUSQUEHANNA ST,2010,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Homewood South,9,13,2,Eastern,Frick,5,3-17,-79.89336123889822,40.45158666422928
51341,0175B00190000000,7502 SUSQUEHANNA ST,2010,2008-06-20,ACT42 ENHANCED RESIDENTIAL,10,250000,Homewood South,9,13,2,Eastern,Frick,5,3-17,-79.89363644134103,40.451694891820885
51342,0041G00055000000,1234 JUSTINE ST,,2020-02-27,ACT42 RESIDENTIAL,3,86750,Crafton Heights,2,28,5,Northern,Emerald,6,1-16,-80.05661001663374,40.44943645538967
51343,0009D00250000000,WATERFRONT PL,,2020-02-24,ACT42 RESIDENTIAL,3,86750,Strip District,7,2,6,Central,Highland,2,2-3,-79.98705422562483,40.451141626779766
51344,0083A00266000000,5454 BLACK ST,2022,2020-02-05,ACT42 RESIDENTIAL,3,86750,Garfield,9,11,2,Central,Highland,5,3-4,-79.93120446523545,40.469816802863605
51345,0083A00267000000,5452 BLACK ST,2022,2020-02-05,ACT42 RESIDENTIAL,3,86750,Garfield,9,11,2,Central,Highland,5,3-4,-79.93129474773777,40.469853399250844
51346,0083A00268000000,5450 BLACK ST,,2020-02-05,ACT42 RESIDENTIAL,3,86750,Garfield,9,11,2,Central,Highland,5,3-4,-79.93138233319635,40.469882925597695
51347,0119S00041000000,5310 DRESDEN WAY,2022,2020-02-06,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95170747581467,40.48196576973245
51348,0010M00154000000,2621 CENTRE AVE,2020,2020-02-21,LOCAL ECONOMIC STIMULUS,10,250000,Middle Hill,6,5,3,Central,Schenley,2,2-5,-79.96792231764601,40.44719290018262
51349,0002E00012000000,431 SMITHFIELD ST,,2020-02-18,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-4,-79.99919722613734,40.43986839519543
51350,0002E00012000100,441 SMITHFIELD ST,,2020-02-18,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-4,-79.99904677276858,40.43984732059323
51351,0002E00012000200,431 SMITHFIELD ST,,2020-02-18,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-4,-79.99916437673181,40.43966348944768
51352,0009N00076000000,800 PENN AVE,2021,2020-02-18,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99909576150066,40.44329782403047
51353,0009N00092000000,209 9TH ST,2022,2020-02-18,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99793627064119,40.443494479182846
51354,0022L00273000000,1213 LIVERPOOL ST,2022,2020-02-28,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02323592435968,40.455319038263966
51355,0080F00117000000,4820 HARRISON ST,2019,2017-08-02,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.95885460958316,40.477415847295084
51356,0080K00230000000,4826 HATFIELD ST,2020,2017-08-11,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.95811150523353,40.47700812493376
51357,0080K00232000000,4824 HATFIELD ST,2019,2017-08-11,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.95816627322641,40.47696510528897
51358,0080K00234000000,4820 HATFIELD ST,2020,2017-08-11,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-5,-79.9582163670471,40.47692478302116
51359,0012L00350000000,2312 LARKINS WAY,2019,2017-08-18,ACT42 RESIDENTIAL,3,86750,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.97261453180083,40.42681573901274
51360,0036B00093000000,1311 CARNAHAN RD,2019,2017-08-30,ACT42 RESIDENTIAL,3,86750,Banksville,2,20,5,Northern,Emerald,6,4-9,-80.04165660639141,40.41165499508667
51361,0080H00006000000,444 52ND ST,2019,2017-08-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95313460488003,40.479276818298615
51362,0080H00008000000,5197 KEYSTONE ST,2019,2017-08-24,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95307407389835,40.479246855682206
51363,0120N00021000000,5430 CARNEGIE ST,,2017-08-25,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94939447053356,40.48269954930327
51364,0022R00269000000,1202 W NORTH AVE,,2017-08-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Manchester,6,21,1,Northern,Riverview,1,1-8,-80.02250714045121,40.453063737008314
51365,0008D00169000000,504 LOCKHART ST,,2017-08-04,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-20,-79.99994685205088,40.45260521393857
51366,0023M00268000000,521 TRIPOLI ST,2019,2017-08-29,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.0004629548537,40.45586946177866
51367,0024F00280000000,1154 VOSKAMP ST,2017,2017-08-08,ACT42 ENHANCED RESIDENTIAL,10,250000,Spring Garden,1,24,1,Northern,Riverview,1,1-5,-79.99177367491454,40.45957801338061
51368,0088H00226000000,1627 BILTMORE LN,,2015-11-04,ACT42 RESIDENTIAL,3,86750,,,,,,,,,,
51369,0049P00254000000,3865 HOWLEY ST,2017,2015-11-04,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.95977090749349,40.46331070374256
51370,0049P00255000000,3825 HOWLEY ST,2016,2015-11-04,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.95994684552117,40.46328339075352
51371,0049A00014000000,144 43RD ST,,2015-11-03,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.9621812186002,40.47171748440106
51372,0049A00015000000,142 43RD ST,2018,2015-11-03,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96223231815158,40.47175527941745
51373,0049A00017000000,138 43RD ST,2018,2015-11-03,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96233522560351,40.471832081236165
51374,0049A00038000000,140 43RD ST,,2015-11-03,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96227948275886,40.4717921821835
51375,0049F00050000000,4065 SAINT JOHNS WAY,,2015-11-06,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.9609843256964,40.469194485829675
51376,0049F00052000000,4063 SAINT JOHNS WAY,,2015-11-06,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.9610253872915,40.46916150307449
51377,0049F00054000000,4059 SAINT JOHNS WAY,,2015-11-06,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96106208231554,40.46913255445089
51378,0049F00056000000,4057 SAINT JOHNS WAY,,2015-11-06,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.96109438378095,40.46910109754543
51379,0088M00048000000,1660 SHELBURNE LN,2017,2015-11-16,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,15,3,Eastern,Frick,4,2-20,-79.91866438788662,40.41661377917664
51380,0088M00050000000,1656 SHELBURNE LN,2017,2015-11-16,ACT42 RESIDENTIAL,3,86750,Squirrel Hill South,5,15,3,Eastern,Frick,4,2-20,-79.91847625635441,40.41663172330074
51381,0023F00136000000,229 E JEFFERSON ST,2017,2015-11-09,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01096480127123,40.458862212862726
51382,0023F00137000000,227 E JEFFERSON ST,2017,2015-11-09,ACT42 RESIDENTIAL,3,86750,Central Northside,6,25,1,Northern,Riverview,1,1-21,-80.01080049310835,40.45890196256744
51383,0010J00050000000,147 ERIN ST,2018,2013-03-29,ACT42 RESIDENTIAL,3,86750,Middle Hill,6,5,3,Central,Schenley,2,2-1,-79.98003978344222,40.44549765199176
51384,0006R00103000000,119 SWEETBRIAR VILLAGE TRL,2018,2013-03-25,ACT42 RESIDENTIAL,3,86750,Duquesne Heights,2,19,5,Southern,Emerald,3,4-1,-80.02296625072732,40.43506259650752
51385,0004K00166000000,200 COWAN ST,2015,2013-03-26,LOCAL ECONOMIC STIMULUS,10,250000,Mount Washington,2,19,5,Southern,Emerald,3,4-27,-80.01038897103355,40.427955966178494
51386,0049E00021000000,172 38TH ST,2013,2013-03-25,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96550223233312,40.467550585145815
51387,0049E00061000000,169 38TH ST,2013,2013-03-19,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96525649571036,40.46780848341496
51388,0049E00062000000,173 38TH ST,2013,2013-03-28,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.96521513374446,40.46777601031129
51389,0049N00225000000,3491 DENNY ST,2014,2013-03-19,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96400329592403,40.4636455569423
51390,0080D00294000000,5211 KENT WAY,2014,2013-03-19,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95229369452801,40.47950228861529
51391,0119S00053000000,5331 CARNEGIE ST,2017,2013-03-19,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95095709131994,40.48225096166884
51392,0119S00063000000,5405 CARNEGIE ST,2019,2013-03-19,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.95043667399327,40.48252529820672
51393,0049L00080000000,346 MAIN ST,,2016-12-23,ACT42 RESIDENTIAL,3,86750,Central Lawrenceville,7,9,2,Central,Highland,2,3-3,-79.95673534598744,40.466562526802726
51394,0081M00344000000,5134 ROSECREST PL,,2016-12-02,ACT42 RESIDENTIAL,3,86750,Stanton Heights,9,10,2,Central,Highland,5,3-7,-79.93635520311528,40.475525970561776
51395,0083H00067000000,700 COLLINS AVE,2019,2016-12-02,ACT42 RESIDENTIAL,3,86750,East Liberty,9,11,2,Central,Highland,5,3-8,-79.91820362365279,40.46738985285815
51396,0001C00228000000,408 STANWIX ST,,2016-12-02,COMMERCIAL LERTA,5,50000,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.0038879672486,40.44073983252871
51397,0001C00228000100,100 FORBES AVE,2019,2016-12-02,COMMERCIAL LERTA,5,50000,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.00389915919578,40.44082260372719
51398,0001C00228000200,424 STANWIX ST,2019,2016-12-02,COMMERCIAL LERTA,5,50000,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.00377175939502,40.44077241655316
51399,0002E00053000000,434 5TH AVE,,2016-12-27,LOCAL ECONOMIC STIMULUS,10,250000,Central Business District,6,2,6,Central,Riverview,2,1-4,-79.99837301515302,40.43953454105851
51400,0002E0005300CU00,434 5TH AVE,2024,2016-12-27,LOCAL ECONOMIC STIMULUS,10,250000,Central Business District,6,2,6,Central,Riverview,2,1-4,-79.99833618810959,40.43964034681071
51401,0025J00138000000,114 27TH ST,2018,2016-12-15,LOCAL ECONOMIC STIMULUS,10,250000,Strip District,7,2,6,Central,Highland,2,2-25,-79.9791040630935,40.45657514148992
51402,0025J00138000000,114 27TH ST,2018,2016-12-15,RESIDENTIAL LERTA,10,150000,Strip District,7,2,6,Central,Highland,2,2-25,-79.9791040630935,40.45657514148992
51403,0024J00393000000,816 SUISMON ST,2020,2016-12-06,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-5,-79.99670432963275,40.456119116319805
51404,0049N00239020500,3644 PENN AVE UNIT 205,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96300188816537,40.46403979398412
51405,0049N00239030100,3644 PENN AVE UNIT 301,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96304677699521,40.4641462481997
51406,0049N00239030200,3644 PENN AVE UNIT 302,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96306347595517,40.464142970199376
51407,0049N00239030300,3644 PENN AVE UNIT 303,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96307925535294,40.46413816277385
51408,0049N00239030400,3644 PENN AVE UNIT 304,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96309492263666,40.46413450771725
51409,0049N00239030500,3644 PENN AVE UNIT 305,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.9631112759356,40.464131095984406
51410,0049N00239030600,3644 PENN AVE UNIT 306,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96312734183053,40.46412665578944
51411,0049N00239030700,3644 PENN AVE UNIT 307,2014,2012-02-26,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-6,-79.96314358909342,40.46412295931134
51412,0001H00327060200,306 4TH AVE UNIT 602,2014,2012-02-07,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.00108176692001,40.43919314926229
51413,0001H00327070400,306 4TH AVE UNIT 704,,2012-02-07,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.00119582025475,40.43921530717487
51414,0001H00327090400,306 4TH AVE UNIT 904,,2012-02-07,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.00106416004041,40.43912193891814
51415,0001H00327170200,306 4TH AVE UNIT 1702,,2012-02-07,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,1,6,Central,Riverview,2,1-4,-80.00126339532117,40.43911222526701
51416,0001D00268000000,225 FORBES AVE,2011,2009-07-10,RESIDENTIAL LERTA,10,150000,Central Business District,6,2,6,Central,Riverview,2,1-4,-80.0015601979794,40.440784327281726
51417,0009N00137020200,941 PENN AVE UNIT 202,2009,2009-07-15,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99678943875072,40.44462152101571
51418,0009N00137030100,941 PENN AVE UNIT 301,2009,2009-07-15,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99680703228042,40.44456922558351
51419,0009N00137040200,941 PENN AVE UNIT 402,2009,2009-07-15,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99674949432365,40.444532762882645
51420,0009N00137050100,941 PENN AVE UNIT 501,2009,2009-07-15,RESIDENTIAL ENHANCED LERTA,10,2700,Central Business District,6,2,6,Central,Riverview,2,1-3,-79.99676664263535,40.44448020723597
